student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,study_hours_per_week,attendance_rate,math_score,reading_score,writing_score
STU1410,male,group B,associate's degree,standard,none,12.9,87.9,70,77,66.0
STU1617,male,group D,high school,free/reduced,completed,5.8,82.2,93,86,81.0
STU1668,male,group B,associate's degree,standard,completed,,90.6,76,78,74.0
STU1293,male,group D,some college,standard,completed,7.9,88.9,84,88,91.0
STU1352,female,group C,associate's degree,free/reduced,none,,87.2,55,72,68.0
STU1046,male,group B,some high school,standard,none,3.5,88.2,75,82,78.0
STU1449,male,group D,some college,standard,completed,6.2,85.6,76,71,70.0
STU1361,female,group B,some college,standard,none,4.4,81.0,82,91,77.0
STU1695,female,group A,some college,standard,completed,4.6,100.0,60,62,57.0
STU1867,male,group B,associate's degree,free/reduced,none,4.5,100.0,75,71,65.0
STU1299,male,group D,high school,free/reduced,none,,84.6,63,54,53.0
STU1107,female,group D,bachelor's degree,standard,none,5.7,83.3,71,74,
STU1933,female,group C,some college,standard,none,14.8,80.6,90,89,80.0
STU1938,male,group C,master's degree,standard,completed,4.8,89.9,100,95,93.0
STU1557,male,group C,high school,standard,completed,10.2,85.5,66,83,75.0
STU1994,male,group D,some high school,standard,none,4.4,81.5,69,49,42.0
STU1086,female,group C,some high school,standard,none,4.0,78.0,62,67,55.0
STU1056,male,group D,some college,standard,completed,9.9,74.0,65,69,58.0
STU1682,male,group D,some high school,free/reduced,completed,5.5,90.9,92,91,86.0
STU1002,female,group E,bachelor's degree,standard,completed,8.0,83.4,92,81,83.0
STU1309,male,group D,some college,standard,completed,5.1,97.7,73,76,72.0
STU1627,female,group C,associate's degree,free/reduced,none,13.7,76.0,91,96,87.0
STU1937,female,group D,associate's degree,standard,none,4.8,93.6,79,73,63.0
STU1713,male,group C,some college,standard,completed,14.9,80.8,96,89,85.0
STU1926,male,group C,bachelor's degree,standard,none,6.3,87.1,87,91,86.0
STU1821,male,group B,high school,standard,none,1.9,82.0,52,50,38.0
STU1095,female,group B,associate's degree,free/reduced,none,,88.3,72,74,64.0
STU1602,male,group B,associate's degree,standard,completed,18.4,87.1,97,92,88.0
STU1551,female,group C,some high school,standard,none,,96.2,54,74,68.0
STU1671,female,group E,some college,standard,completed,3.8,92.0,75,74,71.0
STU1411,female,group B,high school,standard,none,3.7,93.5,46,45,37.0
STU1571,female,group B,bachelor's degree,standard,completed,3.8,97.0,89,76,68.0
STU1272,female,group D,some college,free/reduced,none,8.1,86.3,84,75,74.0
STU1614,female,group C,high school,standard,none,9.4,84.5,59,61,60.0
STU1087,female,group B,associate's degree,standard,none,2.0,85.9,67,65,64.0
STU1123,male,group D,some college,standard,completed,3.7,73.6,90,91,89.0
STU1947,female,group B,some college,standard,completed,8.8,83.6,59,68,70.0
STU1636,female,group C,master's degree,free/reduced,none,10.0,81.4,70,65,
STU1105,male,group B,high school,standard,completed,10.6,99.6,58,50,55.0
STU1709,female,group D,high school,free/reduced,completed,7.3,87.0,100,100,96.0
STU1920,female,group D,high school,free/reduced,completed,11.2,82.0,74,74,69.0
STU1728,male,group D,high school,standard,completed,7.5,85.0,64,71,62.0
STU1317,male,group D,some college,standard,none,5.3,81.1,58,61,57.0
STU1616,male,group E,,standard,completed,1.1,78.6,67,67,69.0
STU1970,female,group A,some college,free/reduced,none,6.5,70.2,48,60,52.0
STU1031,male,group C,some college,standard,none,7.3,76.8,95,93,85.0
STU1931,female,group C,associate's degree,standard,none,4.6,66.3,88,77,61.0
STU1747,female,group B,high school,standard,none,13.8,90.4,62,74,69.0
STU1262,male,group C,bachelor's degree,standard,none,11.6,94.9,70,71,69.0
STU1413,female,group A,some high school,standard,completed,3.1,86.2,77,68,71.0
STU1179,male,group C,some college,free/reduced,none,7.0,87.3,87,78,75.0
STU1502,male,group A,some college,free/reduced,none,8.7,86.2,67,67,53.0
STU1894,female,group C,high school,free/reduced,none,14.3,91.0,80,83,81.0
STU1210,female,group C,associate's degree,standard,none,2.8,88.0,80,85,87.0
STU1536,female,group B,associate's degree,standard,none,4.6,95.7,73,85,76.0
STU1243,male,group D,,free/reduced,none,6.4,82.9,76,68,58.0
STU1899,male,group D,some high school,free/reduced,completed,12.0,91.7,60,63,62.0
STU1255,female,group C,some college,standard,completed,8.0,88.3,100,100,86.0
STU1770,male,group C,some high school,standard,none,6.7,91.5,89,77,74.0
STU1219,female,group B,some high school,free/reduced,none,16.0,88.2,88,74,68.0
STU1041,female,group D,some college,free/reduced,none,4.0,81.3,53,55,48.0
STU1909,male,group B,high school,standard,none,8.7,100.0,69,74,64.0
STU1298,female,group D,some high school,standard,none,5.7,74.9,47,48,47.0
STU1344,male,group D,master's degree,standard,none,14.5,77.8,93,87,75.0
STU1514,male,group B,associate's degree,free/reduced,none,5.6,92.3,68,70,56.0
STU1643,male,group D,associate's degree,standard,none,14.4,96.8,100,95,88.0
STU1453,female,group C,some college,standard,completed,7.0,82.0,79,86,96.0
STU1437,female,group D,some college,standard,completed,4.3,91.5,78,81,74.0
STU1282,male,group C,some college,free/reduced,none,1.9,91.8,59,60,59.0
STU1907,male,group C,high school,standard,none,9.0,87.7,46,46,41.0
STU1214,female,group D,associate's degree,standard,none,2.6,83.2,57,46,30.0
STU1888,male,group D,bachelor's degree,standard,none,5.5,69.0,60,64,55.0
STU1201,male,group A,some high school,standard,none,3.9,69.5,72,57,47.0
STU1607,male,group D,high school,standard,none,8.0,,84,84,70.0
STU1189,male,group D,associate's degree,free/reduced,completed,4.4,89.3,73,70,69.0
STU1135,male,group A,bachelor's degree,standard,none,7.4,82.4,73,60,54.0
STU1601,male,group C,some high school,standard,completed,3.6,85.7,93,95,89.0
STU1324,female,group E,bachelor's degree,free/reduced,completed,11.0,88.6,78,77,72.0
STU1998,female,group A,high school,standard,completed,6.4,100.0,93,89,76.0
STU1535,female,group B,bachelor's degree,standard,none,2.9,95.8,71,64,57.0
STU1339,male,group A,some college,free/reduced,none,9.6,,60,52,42.0
STU1203,female,group C,some high school,free/reduced,completed,6.0,91.5,79,77,74.0
STU1513,female,group A,some college,free/reduced,none,3.4,92.0,50,54,46.0
STU1759,female,group C,some high school,free/reduced,completed,3.5,80.7,50,59,58.0
STU1202,male,group A,some college,standard,none,8.9,100.0,86,88,79.0
STU1247,female,group A,bachelor's degree,standard,none,3.2,91.9,43,49,35.0
STU1751,female,group B,associate's degree,free/reduced,none,2.0,85.3,54,64,61.0
STU1533,female,group B,some high school,standard,none,8.6,89.1,60,64,60.0
STU1375,male,group E,high school,free/reduced,none,4.2,81.1,65,63,57.0
STU1610,male,group E,bachelor's degree,standard,none,17.7,86.9,100,99,85.0
STU1782,male,group C,master's degree,standard,none,7.5,89.2,65,65,59.0
STU1539,male,group C,associate's degree,standard,none,4.2,93.9,84,83,72.0
STU1154,female,group C,some high school,standard,none,15.4,82.1,62,54,48.0
STU1978,female,group E,associate's degree,standard,none,7.1,96.6,80,72,70.0
STU1831,male,group C,associate's degree,free/reduced,completed,10.1,99.8,91,99,92.0
STU1069,female,group B,high school,free/reduced,completed,10.5,86.1,57,56,57.0
STU1771,female,group D,high school,free/reduced,none,4.2,77.0,60,57,52.0
STU1387,male,group B,associate's degree,standard,none,1.2,85.2,80,86,72.0
STU1057,male,group C,some college,standard,none,4.5,88.8,87,74,63.0
STU1300,male,group A,bachelor's degree,standard,none,7.5,,94,85,79.0
STU1655,male,group E,some college,standard,none,2.1,76.6,75,81,71.0
STU1271,female,group E,some college,standard,completed,7.9,83.6,81,64,62.0
STU1004,male,group D,high school,standard,none,7.9,92.6,97,81,75.0
STU1292,female,group C,high school,standard,none,9.5,85.5,66,83,79.0
STU1916,male,group E,associate's degree,free/reduced,none,15.7,96.8,65,64,56.0
STU1592,male,group B,some college,standard,none,2.4,84.1,76,65,
STU1129,female,group B,some college,free/reduced,none,6.9,,92,92,85.0
STU1376,female,group C,high school,free/reduced,none,6.1,92.3,43,46,41.0
STU1950,female,group A,bachelor's degree,standard,none,9.2,93.7,68,80,71.0
STU1067,female,group B,high school,free/reduced,completed,3.9,82.8,71,92,81.0
STU1631,female,group C,associate's degree,standard,none,1.9,93.5,64,65,52.0
STU1633,female,group D,high school,standard,completed,10.4,100.0,91,80,79.0
STU1163,female,group D,bachelor's degree,standard,none,12.2,96.1,73,84,72.0
STU1390,female,group B,some college,standard,none,2.2,81.9,66,66,63.0
STU1568,female,group D,bachelor's degree,free/reduced,none,7.9,86.2,73,66,69.0
STU1144,male,group B,some college,standard,completed,6.3,75.1,80,81,87.0
STU1457,male,group D,associate's degree,free/reduced,none,7.4,98.2,52,56,61.0
STU1943,female,group D,associate's degree,standard,none,,94.2,73,74,64.0
STU1587,male,group C,associate's degree,free/reduced,none,8.8,87.2,45,41,48.0
STU1776,male,group D,some high school,free/reduced,none,11.3,78.2,50,52,49.0
STU1315,female,group D,some high school,free/reduced,none,4.0,100.0,57,62,57.0
STU1519,male,group E,associate's degree,standard,none,3.9,85.1,58,72,70.0
STU1826,male,group A,associate's degree,standard,completed,8.5,93.5,72,68,65.0
STU1827,male,group E,some high school,standard,none,4.0,99.2,72,63,63.0
STU1306,female,group D,some high school,standard,none,2.5,94.6,39,43,42.0
STU1400,male,group B,some college,standard,none,3.9,100.0,82,80,68.0
STU1556,male,group C,some college,standard,completed,11.5,99.6,90,93,85.0
STU1134,female,group D,associate's degree,standard,none,5.6,82.7,92,86,79.0
STU1265,female,group A,associate's degree,standard,none,3.3,78.3,60,73,62.0
STU1711,female,group A,some college,free/reduced,none,7.0,95.2,70,78,68.0
STU1183,female,group E,high school,standard,none,1.2,80.9,50,52,48.0
STU1833,male,group D,high school,standard,none,3.5,93.7,48,48,36.0
STU1148,male,group D,some college,free/reduced,completed,5.0,68.8,63,61,59.0
STU1988,male,group C,associate's degree,standard,completed,6.2,92.5,77,77,72.0
STU1540,female,group D,associate's degree,standard,none,12.0,87.3,86,80,82.0
STU1847,female,group B,high school,standard,none,14.4,73.7,58,51,44.0
STU1572,male,group D,high school,free/reduced,none,5.1,72.4,71,73,67.0
STU1488,female,group C,,standard,completed,3.3,97.6,84,95,96.0
STU1977,male,group C,some high school,standard,none,5.3,85.7,51,49,41.0
STU1378,female,group C,some college,standard,none,5.8,96.3,56,71,60.0
STU1409,male,group E,some college,standard,none,4.0,87.6,72,73,70.0
STU1049,male,group A,some high school,standard,none,9.2,82.5,75,73,71.0
STU1396,female,group C,high school,free/reduced,none,6.8,81.5,64,70,64.0
STU1434,male,group B,master's degree,free/reduced,none,6.0,97.1,100,90,89.0
STU1729,male,group C,some college,standard,none,3.0,77.8,56,67,55.0
STU1026,male,group E,associate's degree,free/reduced,none,9.0,83.9,86,95,85.0
STU1521,male,group E,some high school,standard,none,3.7,90.4,72,69,59.0
STU1854,male,group E,some high school,free/reduced,none,5.8,99.4,62,54,53.0
STU1554,female,group B,some high school,standard,none,8.0,79.7,81,82,73.0
STU1498,female,group C,master's degree,standard,none,4.3,90.3,67,64,62.0
STU1187,female,group A,associate's degree,standard,none,11.1,79.2,79,78,70.0
STU1658,female,group C,high school,standard,none,2.2,72.5,83,79,58.0
STU1522,female,group C,high school,standard,completed,10.1,84.9,87,87,83.0
STU1714,male,group A,some high school,free/reduced,none,5.9,81.9,74,66,64.0
STU1722,male,group C,associate's degree,free/reduced,none,11.3,75.9,51,61,50.0
STU1237,male,group C,high school,free/reduced,completed,0.8,83.3,82,88,80.0
STU1304,female,group D,bachelor's degree,standard,completed,9.5,94.9,59,66,62.0
STU1073,female,group A,bachelor's degree,standard,none,4.6,89.1,72,60,48.0
STU1877,female,group C,high school,free/reduced,completed,5.1,89.6,64,74,68.0
STU1834,female,group D,some college,standard,none,1.5,99.8,75,60,60.0
STU1880,male,group D,high school,standard,none,6.8,78.2,60,54,56.0
STU1588,male,group C,high school,standard,completed,25.0,97.9,84,91,88.0
STU1586,male,group D,some high school,standard,none,8.1,95.7,69,70,69.0
STU1472,male,group E,bachelor's degree,standard,none,5.5,78.7,53,45,41.0
STU1612,female,group C,high school,standard,none,7.8,88.3,53,64,60.0
STU1723,female,group B,some college,standard,none,5.5,80.0,63,52,44.0
STU1096,female,group B,,free/reduced,none,4.6,89.3,65,67,63.0
STU1922,female,group C,bachelor's degree,free/reduced,none,3.6,83.6,87,85,72.0
STU1239,male,group B,high school,standard,none,6.4,88.0,73,77,72.0
STU1447,female,group D,high school,free/reduced,completed,4.9,95.0,60,61,65.0
STU1664,male,group E,associate's degree,standard,completed,6.4,88.9,100,100,92.0
STU1039,male,group C,high school,standard,none,6.6,86.7,69,78,72.0
STU1464,female,group E,associate's degree,standard,completed,5.8,76.6,88,93,89.0
STU1694,male,group C,master's degree,standard,none,10.5,81.5,83,68,61.0
STU1863,male,group C,associate's degree,standard,none,6.2,98.6,67,63,59.0
STU1098,male,group D,associate's degree,standard,none,1.4,86.1,76,73,60.0
STU1235,female,group C,associate's degree,standard,none,,97.8,75,76,69.0
STU1259,male,group C,some college,free/reduced,none,6.9,90.5,79,85,77.0
STU1740,male,group D,some college,free/reduced,completed,8.9,89.0,56,50,47.0
STU1424,male,group E,high school,free/reduced,none,10.0,86.7,81,82,68.0
STU1356,male,group E,bachelor's degree,free/reduced,none,9.4,90.1,77,73,69.0
STU1896,male,group C,some college,standard,none,4.6,83.3,56,45,45.0
STU1330,male,group C,high school,standard,none,3.9,85.1,50,61,59.0
STU1481,female,group B,bachelor's degree,standard,none,4.5,77.6,64,71,63.0
STU1278,female,group B,associate's degree,standard,none,11.0,87.5,79,80,77.0
STU1063,male,group C,some college,standard,none,7.6,87.2,97,77,76.0
STU1454,male,group A,associate's degree,free/reduced,completed,3.8,91.3,52,41,34.0
STU1011,female,group E,,standard,none,9.1,76.3,53,54,49.0
STU1635,male,group B,associate's degree,standard,completed,6.4,69.6,75,80,79.0
STU1961,female,group C,some college,standard,none,3.1,91.7,69,66,59.0
STU1701,male,group C,master's degree,free/reduced,none,3.3,77.3,65,55,50.0
STU1801,male,group D,bachelor's degree,free/reduced,none,7.6,98.0,77,64,62.0
STU1311,male,group E,bachelor's degree,free/reduced,completed,8.7,85.2,66,50,50.0
STU1191,female,group C,bachelor's degree,free/reduced,completed,7.9,88.7,78,70,73.0
STU1295,female,group B,some high school,standard,none,9.0,75.9,54,59,52.0
STU1538,male,group B,associate's degree,free/reduced,none,2.6,85.1,37,55,47.0
STU1168,male,group A,associate's degree,free/reduced,none,4.0,87.4,70,78,75.0
STU1307,male,group D,associate's degree,standard,none,3.1,94.5,78,62,66.0
STU1808,male,group B,some college,standard,none,6.0,90.2,78,80,65.0
STU1824,female,group D,high school,standard,none,4.2,87.1,82,74,68.0
STU1796,female,group D,some high school,standard,none,2.0,88.2,53,48,49.0
STU1715,female,group E,high school,standard,none,24.0,,87,67,55.0
STU1188,female,group C,associate's degree,free/reduced,completed,10.1,98.0,90,93,83.0
STU1855,male,group B,some college,standard,none,4.8,85.9,69,83,76.0
STU1528,male,group D,some high school,free/reduced,none,13.8,99.3,89,81,73.0
STU1712,male,group D,some college,free/reduced,none,4.2,94.3,46,54,51.0
STU1564,male,group D,some college,standard,none,11.6,80.6,77,58,40.0
STU1490,male,group B,high school,standard,none,5.6,87.3,70,71,54.0
STU1194,male,group A,some high school,standard,none,5.1,93.4,63,59,49.0
STU1586,male,group D,some high school,standard,none,8.1,95.7,69,70,69.0
STU1570,female,group C,some college,standard,none,7.0,95.7,65,70,72.0
STU1784,male,group D,bachelor's degree,free/reduced,none,14.2,100.0,94,100,93.0
STU1423,female,group B,some college,standard,completed,5.4,91.6,52,51,55.0
STU1351,female,group C,bachelor's degree,standard,none,4.9,89.1,74,68,69.0
STU1531,female,group C,bachelor's degree,free/reduced,none,2.8,90.5,86,81,73.0
STU1217,female,group D,high school,standard,none,1.1,76.0,73,76,75.0
STU1640,male,group C,high school,standard,completed,1.5,97.0,71,67,66.0
STU1702,male,group C,some high school,standard,completed,9.9,89.1,69,80,78.0
STU1192,female,group C,associate's degree,free/reduced,none,4.5,74.0,39,35,31.0
STU1149,male,group E,bachelor's degree,standard,completed,4.1,99.1,82,80,75.0
STU1503,female,group C,master's degree,standard,none,5.4,95.8,100,85,78.0
STU1346,female,group C,associate's degree,standard,completed,9.5,77.3,90,80,78.0
STU1778,female,group B,some college,free/reduced,none,4.3,100.0,88,74,62.0
STU1691,male,group C,associate's degree,standard,none,1.4,89.1,79,83,75.0
STU1484,female,group C,some college,standard,none,7.0,88.1,75,71,68.0
STU1467,female,group C,some high school,free/reduced,none,7.0,85.1,44,42,40.0
STU1755,female,group D,high school,standard,completed,5.1,76.7,73,86,87.0
STU1662,female,group E,high school,standard,none,4.9,80.8,63,68,65.0
STU1649,female,group D,some college,free/reduced,none,7.9,76.5,73,64,63.0
STU1331,female,group D,some high school,free/reduced,none,5.1,100.0,70,61,64.0
STU1325,female,group C,master's degree,free/reduced,completed,5.7,96.2,80,81,69.0
STU1381,female,group C,bachelor's degree,standard,none,9.1,81.0,59,62,
STU1463,female,group D,some college,standard,none,5.9,,82,65,61.0
STU1914,female,group C,high school,free/reduced,none,3.8,92.4,27,45,50.0
STU1022,male,group E,bachelor's degree,free/reduced,completed,6.8,86.4,55,52,48.0
STU1542,male,group C,bachelor's degree,standard,none,6.7,84.8,88,88,75.0
STU1296,female,group B,high school,standard,none,2.5,72.3,42,52,38.0
STU1973,male,group C,associate's degree,free/reduced,completed,4.7,78.7,73,66,60.0
STU1677,male,group C,some high school,standard,completed,3.3,89.5,86,96,
STU1006,male,group D,some college,free/reduced,none,4.0,83.0,100,100,100.0
STU1510,female,group D,some high school,standard,none,9.6,98.7,60,59,51.0
STU1158,male,group E,some college,free/reduced,completed,5.8,86.2,85,85,87.0
STU1876,female,group C,some college,standard,none,9.4,81.7,54,58,58.0
STU1128,male,group C,bachelor's degree,free/reduced,none,4.7,97.9,75,64,60.0
STU1935,male,group D,high school,standard,none,6.2,86.3,60,60,58.0
STU1402,female,group A,some college,free/reduced,none,,81.6,53,53,43.0
STU1355,female,group E,some high school,standard,none,4.1,75.6,40,53,41.0
STU1832,male,group C,some high school,free/reduced,completed,5.8,87.8,58,78,86.0
STU1964,male,group C,bachelor's degree,standard,none,8.7,96.0,100,90,88.0
STU1648,female,group D,some college,standard,completed,10.4,100.0,95,93,100.0
STU1530,female,group C,associate's degree,standard,none,2.5,86.7,76,79,74.0
STU1874,male,group D,,standard,none,2.2,81.5,52,42,40.0
STU1258,female,group A,high school,standard,none,0.7,92.3,81,83,82.0
STU1171,male,group E,some high school,standard,completed,10.6,96.5,65,73,70.0
STU1857,male,group C,some high school,standard,completed,4.6,,74,81,75.0
STU1982,male,group C,associate's degree,standard,completed,5.5,72.3,100,96,89.0
STU1843,female,group C,master's degree,standard,none,2.2,97.2,65,55,51.0
STU1455,female,group E,some high school,standard,none,8.9,97.3,100,97,82.0
STU1993,female,group B,some college,standard,completed,5.0,97.6,60,60,55.0
STU1968,female,group C,master's degree,standard,completed,3.9,97.5,100,94,86.0
STU1595,male,group C,associate's degree,standard,completed,13.7,93.0,89,96,
STU1932,female,group C,some high school,standard,completed,8.6,82.2,83,82,81.0
STU1033,female,group B,master's degree,standard,completed,7.7,85.4,92,87,81.0
STU1482,male,group C,master's degree,standard,none,8.6,80.9,78,74,57.0
STU1573,female,group E,some college,free/reduced,completed,4.9,95.8,41,44,38.0
STU1169,female,group B,high school,standard,none,8.8,67.8,62,68,63.0
STU1153,female,group D,bachelor's degree,standard,none,8.1,100.0,74,70,58.0
STU1791,female,group D,master's degree,standard,completed,1.7,94.5,84,100,96.0
STU1071,male,group B,some college,standard,completed,5.4,100.0,100,100,92.0
STU1516,male,group D,some high school,standard,none,4.2,74.4,62,49,48.0
STU1120,female,group E,bachelor's degree,standard,none,4.4,92.9,80,65,62.0
STU1663,male,group C,,standard,completed,5.8,94.5,65,63,57.0
STU1334,male,group E,some high school,free/reduced,none,4.0,81.3,62,51,44.0
STU1070,female,group B,associate's degree,free/reduced,none,1.9,84.7,33,41,48.0
STU1294,male,group D,some high school,free/reduced,none,4.4,,59,65,59.0
STU1088,female,group E,bachelor's degree,standard,completed,3.5,88.3,100,100,100.0
STU1999,male,group B,bachelor's degree,standard,none,5.7,80.9,78,83,77.0
STU1374,male,group B,associate's degree,free/reduced,none,12.7,100.0,51,55,52.0
STU1476,male,group D,some high school,free/reduced,none,7.9,87.5,41,50,45.0
STU1866,male,group A,some college,standard,none,7.5,73.9,77,84,77.0
STU1240,female,group E,associate's degree,standard,completed,6.5,93.5,100,100,98.0
STU1470,male,group C,high school,standard,completed,1.1,100.0,81,82,81.0
STU1550,female,group E,some college,free/reduced,completed,5.4,95.4,100,94,94.0
STU1477,female,group D,associate's degree,standard,none,5.7,,90,90,78.0
STU1117,male,group E,associate's degree,standard,none,4.3,,59,63,60.0
STU1349,female,group A,some high school,standard,none,5.9,90.6,90,91,76.0
STU1430,male,group C,associate's degree,standard,completed,19.3,78.0,98,95,91.0
STU1074,female,group E,bachelor's degree,standard,completed,4.8,69.6,72,63,62.0
STU1500,female,group C,bachelor's degree,standard,none,3.4,86.5,66,76,64.0
STU1745,female,group C,associate's degree,standard,none,3.9,80.7,65,82,79.0
STU1559,female,group E,some college,standard,completed,6.2,99.7,86,74,64.0
STU1407,male,group D,high school,free/reduced,none,10.8,95.6,86,89,74.0
STU1333,male,group E,associate's degree,standard,completed,1.5,85.8,67,64,61.0
STU1448,male,group E,some high school,standard,none,3.3,95.7,51,70,55.0
STU1656,male,group C,bachelor's degree,standard,completed,14.2,94.7,91,99,
STU1357,female,group C,some high school,standard,none,6.7,87.7,75,74,
STU1946,male,group C,some college,free/reduced,none,3.5,82.8,58,58,50.0
STU1835,male,group D,bachelor's degree,standard,none,6.3,86.5,66,63,60.0
STU1150,female,group D,high school,standard,none,9.2,93.4,71,68,
STU1548,female,group A,some college,standard,completed,4.2,88.9,66,75,74.0
STU1647,female,group D,some college,standard,none,6.1,88.6,79,76,68.0
STU1180,male,group E,high school,standard,none,1.2,98.1,59,58,48.0
STU1291,male,group B,high school,free/reduced,none,11.8,85.8,61,73,66.0
STU1268,male,group C,high school,standard,completed,4.1,79.1,82,88,80.0
STU1442,male,group D,associate's degree,standard,none,3.5,90.7,87,94,82.0
STU1341,male,group C,some high school,standard,none,2.9,91.6,76,89,82.0
STU1320,female,group B,bachelor's degree,standard,none,3.2,85.1,86,85,73.0
STU1717,female,group D,master's degree,standard,completed,8.3,90.7,87,88,82.0
STU1754,male,group E,bachelor's degree,standard,completed,9.0,86.2,100,97,90.0
STU1545,male,group C,some college,standard,completed,14.1,86.5,87,84,81.0
